date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:23:51	16475/16475	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2001:53:49%20GMT	https://geetauniversity.com/login	C:/My%20Web%20Sites/clone/geetauniversity.com/login.html	(from )
07:23:51	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-d1390712b003c059;gz%22	https://geetauniversity.com/robots.txt		(from )
07:23:52	36750/36750	---M-Z	200	added ('OK')	text/css	etag:%228f8e-66fbe4b9-fa6def01248bb517;gz%22	https://geetauniversity.com/assets/css/fontawesome.css	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/css/fontawesome.css	(from https://geetauniversity.com/login)
07:23:52	87509/87509	---M--	200	added ('OK')	image/png	etag:%22155d5-68089d78-ca4bbc5aa87912f3;;;%22	https://geetauniversity.com/assets/images/favicon.png?v=1	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/favicon3860.png	(from https://geetauniversity.com/login)
07:23:53	2851/2851	---M-Z	200	added ('OK')	text/css	etag:%22b23-66fbe4b9-d5f33ea43d7beeda;gz%22	https://geetauniversity.com/assets/css/feather-icon.css	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/css/feather-icon.css	(from https://geetauniversity.com/login)
07:23:53	155844/155844	---M-Z	200	added ('OK')	text/css	etag:%22260c4-66fbe4b9-b05bc636b76c371;gz%22	https://geetauniversity.com/assets/css/bootstrap.css	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/css/bootstrap.css	(from https://geetauniversity.com/login)
07:23:54	87932/87932	---M-Z	200	added ('OK')	text/css	etag:%221577c-66fbe4b9-325edd4c3be2f249;gz%22	https://geetauniversity.com/assets/css/animate.css	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/css/animate.css	(from https://geetauniversity.com/login)
07:23:54	78555/78555	---M-Z	200	added ('OK')	text/css	etag:%22132db-66fbe4b9-4c1d1c23eed7a58d;gz%22	https://geetauniversity.com/assets/css/responsive.css	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/css/responsive.css	(from https://geetauniversity.com/login)
07:23:54	942742/942742	---M-Z	200	added ('OK')	text/css	etag:%22e6296-66fbe4b9-4446a167870c9565;gz%22	https://geetauniversity.com/assets/css/style.css?v=3	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/css/style30f4.css	(from https://geetauniversity.com/login)
07:23:55	16475/16475	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2001:53:53%20GMT	https://geetauniversity.com/	C:/My%20Web%20Sites/clone/geetauniversity.com/index.html	(from https://geetauniversity.com/login)
07:23:55	194588/194588	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Apr%202025%2001:53:53%20GMT	https://geetauniversity.com/assets/images/logo.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/logo.png	(from https://geetauniversity.com/login)
07:23:56	70537/70537	---M--	200	added ('OK')	image/jpeg	etag:%2211389-66fd09e3-38eccaa21411ba5a;;;%22	https://eflow.geetauniversity.com/assets/images/student/student_photograph20231213115031.jpeg	C:/My%20Web%20Sites/clone/eflow.geetauniversity.com/assets/images/student/student_photograph20231213115031.jpg	(from https://geetauniversity.com/login)
07:23:58	83877/83877	---M--	200	added ('OK')	image/jpeg	etag:%22147a5-66fd0923-3b0af380c90cdd60;;;%22	https://eflow.geetauniversity.com/assets/images/student/student_795_20231226112811.jpg	C:/My%20Web%20Sites/clone/eflow.geetauniversity.com/assets/images/student/student_795_20231226112811.jpg	(from https://geetauniversity.com/login)
07:23:59	26172/26172	---M--	200	added ('OK')	image/jpeg	etag:%22663c-66fd09fc-fa46414e576c67dd;;;%22	https://eflow.geetauniversity.com/assets/images/student/student_photograph20240830113413.jpg	C:/My%20Web%20Sites/clone/eflow.geetauniversity.com/assets/images/student/student_photograph20240830113413.jpg	(from https://geetauniversity.com/login)
07:24:05	7822/7822	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2001:54:04%20GMT	https://geetauniversity.com/forgotpassword	C:/My%20Web%20Sites/clone/geetauniversity.com/forgotpassword.html	(from https://geetauniversity.com/login)
07:24:06	10108/10108	---M--	200	added ('OK')	image/jpeg	etag:%22277c-66fd09f8-90f0cafd2e74f99f;;;%22	https://eflow.geetauniversity.com/assets/images/student/student_photograph20240823153924.jpg	C:/My%20Web%20Sites/clone/eflow.geetauniversity.com/assets/images/student/student_photograph20240823153924.jpg	(from https://geetauniversity.com/login)
07:24:06	520714/520714	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-7f20a%22	https://code.jquery.com/ui/1.12.1/jquery-ui.js	C:/My%20Web%20Sites/clone/code.jquery.com/ui/1.12.1/jquery-ui.js	(from https://geetauniversity.com/login)
07:24:07	89493/89493	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d95-66fbe4b9-dad144e6544bc31b;gz%22	https://geetauniversity.com/assets/js/jquery-3.5.1.min.js	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/js/jquery-3.5.1.min.js	(from https://geetauniversity.com/login)
07:24:10	61768/61768	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f148-66fbe4b9-57f94f641fb08e8b;gz%22	https://geetauniversity.com/assets/js/bootstrap/bootstrap.min.js	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/js/bootstrap/bootstrap.min.js	(from https://geetauniversity.com/login)
07:24:10	18453/18453	---M-Z	200	added ('OK')	application/x-javascript	etag:%224815-66fbe4b9-4737fddda0fdab9e;gz%22	https://geetauniversity.com/assets/js/bootstrap/popper.min.js	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/js/bootstrap/popper.min.js	(from https://geetauniversity.com/login)
07:24:11	65285/65285	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ff05-66fbe4b9-a50c8dc25d52a161;gz%22	https://geetauniversity.com/assets/js/icons/feather-icon/feather.min.js	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/js/icons/feather-icon/feather.min.js	(from https://geetauniversity.com/login)
